timestamp_utc,ticker,direction,entry_cents,exit_cents,pnl_cents,contracts,exit_reason,momentum_delta,volatility_z,trend_1h,vwap_delta,btc_price,bid_at_entry,ask_at_entry,spread,seconds_remaining,hour_utc
2026-04-04T07:49:13.751195+00:00,KXBTC15M-26APR040400-00,BULL,40,36,-28,7,TRAILING_STOP,24.61,1.89,1,7.53,66981.26,38,39,1,728.0,7
2026-04-04T16:38:03.439906+00:00,KXBTC15M-26APR041245-45,BULL,25,54,290,10,TRAILING_STOP,24.92,1.32,1,18.76,67413.26,23,24,1,478.0,16
2026-04-04T16:38:03.532024+00:00,KXBTC15M-26APR041245-45,BULL,25,54,290,10,TRAILING_STOP,24.92,1.32,1,18.76,67413.26,23,24,1,478.0,16
2026-04-04T16:39:42.776381+00:00,KXBTC15M-26APR041245-45,BULL,56,66,50,5,TRAILING_STOP,41.17,2.16,1,38.78,67454.43,54,55,1,411.0,16
2026-04-04T16:39:42.776380+00:00,KXBTC15M-26APR041245-45,BULL,56,66,50,5,TRAILING_STOP,41.17,2.16,1,38.78,67454.43,54,55,1,411.0,16
2026-04-04T16:58:01.444205+00:00,KXBTC15M-26APR041300-00,BULL,58,1,-285,5,TIME_EXPIRY,29.22,1.36,1,93.24,67504.0,55,57,2,778.0,16
2026-04-04T18:10:07.310365+00:00,KXBTC15M-26APR041415-15,BULL,29,32,9,3,TRAILING_STOP,8.71,0.81,1,1.78,67315.62,27,28,1,374.0,18
2026-04-04T18:48:59.766285+00:00,KXBTC15M-26APR041500-00,BULL,46,48,4,2,TRAILING_STOP,10.05,1.01,1,3.13,67280.88,44,45,1,796.0,18
2026-04-04T18:49:47.926009+00:00,KXBTC15M-26APR041500-00,BULL,51,27,-24,1,TRAILING_STOP,11.62,1.2,1,0.0,67292.5,49,50,1,655.0,18
2026-04-04T21:38:08.129661+00:00,KXBTC15M-26APR041745-45,BEAR,59,45,-14,1,TRAILING_STOP,-11.99,1.16,-1,-9.57,67263.6,56,58,2,519.0,21
2026-04-04T21:50:17.475967+00:00,KXBTC15M-26APR041800-00,BEAR,22,5,-68,4,TRAILING_STOP,-21.12,2.05,-1,-3.64,67332.16,19,21,2,725.0,21
2026-04-05T00:01:05.879984+00:00,KXBTC15M-26APR042015-15,BEAR,60,42,-18,1,TRAILING_STOP,-11.9,0.83,-1,-11.17,67280.1,57,59,2,849.0,0
2026-04-05T01:05:04.438309+00:00,KXBTC15M-26APR042115-15,BEAR,26,66,120,3,TRAILING_STOP,-20.19,1.62,-1,-11.25,67200.63,23,25,2,684.0,1
2026-04-05T03:50:04.980556+00:00,KXBTC15M-26APR050000-00,BULL,57,37,-20,1,TRAILING_STOP,7.6,0.88,1,2.6,67133.95,55,56,1,773.0,3
2026-04-05T21:06:38.516773+00:00,KXBTC15M-26APR051715-15,BULL,40,36,-8,2,TRAILING_STOP,33.91,1.52,1,38.54,67604.11,38,39,1,619.0,21
2026-04-05T22:01:19.384907+00:00,KXBTC15M-26APR051815-15,BEAR,41,31,-20,2,TRAILING_STOP,-39.66,1.27,-1,-43.78,67553.17,39,40,1,826.0,22
2026-04-06T06:10:32.771225+00:00,KXBTC15M-26APR060215-15,BEAR,25,4,-84,4,TRAILING_STOP,-69.01,1.66,-1,-4.29,69224.85,22,24,2,352.0,6
2026-04-06T13:10:08.501887+00:00,KXBTC15M-26APR060915-15,BEAR,28,6,-66,3,TRAILING_STOP,-63.62,1.44,-1,-54.27,69419.78,25,27,2,354.0,13
2026-04-06T13:54:09.641376+00:00,KXBTC15M-26APR061000-00,BEAR,38,13,-50,2,TRAILING_STOP,-91.99,1.63,-1,-20.38,69384.86,36,37,1,391.0,13
2026-04-06T17:58:02.968797+00:00,KXBTC15M-26APR061400-00,BEAR,18,1,-51,3,TIME_EXPIRY,-59.52,1.24,-1,-13.09,69525.97,16,17,1,324.0,17
